soc_id,lat,lng,Preferred_name,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
30177,16.56,121.26,Ayta,0.58,0.0,0.0,0.75,0.25,0.25,0.0,0.0,0.0,1.0,1.0,0.14,0.0,0.0,1.0,0.0,0.33,1.0,0.0,0.75,0.6,0.0,0.5,0.0,0.5,0.0,1.0,0.8,0.5,1.0,1.0,0.75,0.43,0.5,0.5,0.8,1.0
30178,16.56,121.26,Kankanai,0.42,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.5,0.86,0.14,0.0,0.0,0.67,0.58,0.33,1.0,1.0,0.5,0.4,0.0,0.5,0.67,0.25,0.4,1.0,0.4,0.5,0.5,1.0,0.5,0.43,0.5,0.75,0.6,0.75
30180,23.58,121.5,Kavalan,0.42,0.0,0.0,0.5,1.0,0.75,0.0,0.0,0.0,0.5,0.86,0.14,0.0,0.0,0.67,0.42,0.33,1.0,0.0,0.25,0.4,0.0,1.0,0.83,0.25,1.0,1.0,0.8,0.5,0.5,1.0,0.5,0.71,0.83,1.0,0.8,0.5
30181,24.59,121.14,Saisiyat,0.58,0.0,0.0,0.5,0.75,0.75,0.0,0.0,0.0,0.5,1.0,0.14,0.0,0.0,0.67,0.42,0.33,0.0,0.0,0.25,0.6,0.0,0.75,0.17,0.25,0.0,1.0,0.8,0.5,0.5,1.0,0.5,0.43,0.83,0.75,0.8,0.5
30182,24.02,121.12,Seediq,1.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.75,0.43,1.0,0.0,0.0,0.0,1.0,0.83,1.0,0.0,0.25,0.6,1.0,1.0,0.83,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.71,1.0,0.75,0.6,0.5
30183,24.25,120.72,Pingpu Unspecified,0.33,0.0,0.0,0.75,0.5,0.25,0.0,0.0,0.0,0.5,1.0,0.43,0.0,0.0,0.67,0.83,0.17,1.0,0.67,0.5,0.2,0.0,0.5,0.33,0.25,0.0,1.0,0.4,0.5,0.5,1.0,0.5,0.43,0.5,0.75,0.6,0.75
30184,23.85,120.91,Thao-Ngan,0.42,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.86,0.14,0.0,0.0,0.67,0.92,0.67,1.0,0.0,0.5,0.6,0.0,1.0,0.17,0.5,0.4,1.0,1.0,0.5,0.5,1.0,0.5,0.43,1.0,1.0,0.8,0.75
30185,23.96,120.97,Tsou,0.58,0.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.5,0.86,0.14,0.0,0.0,0.67,0.0,0.17,1.0,0.0,0.5,0.6,0.0,1.0,0.17,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.71,1.0,1.0,0.6,0.75
30186,22.04,121.54,Yami,0.42,0.0,0.0,0.75,0.75,0.25,0.0,0.0,0.0,0.5,1.0,0.14,0.0,0.0,0.67,0.83,0.0,1.0,0.0,0.25,0.2,0.0,1.0,0.33,0.5,0.0,1.0,0.4,1.0,0.5,1.0,0.5,0.14,0.33,0.25,0.8,0.75
30187,2.15,12.13,Fang,0.83,0.12,0.09,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.43,0.14,0.5,0.0,0.67,0.08,0.67,1.0,0.67,0.5,0.6,0.4,1.0,0.83,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.86,1.0,1.0,0.6,0.75
30191,2.15,12.13,Ngadha,0.92,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.86,0.14,0.0,0.0,0.67,0.58,0.33,1.0,1.0,0.5,0.4,0.6,1.0,0.83,0.5,1.0,1.0,0.8,1.0,0.5,1.0,0.5,0.71,1.0,1.0,0.8,0.25
30192,-5.31,119.74,Makassarese,0.33,0.12,0.09,0.75,0.5,0.25,0.25,0.0,0.0,0.5,1.0,0.43,1.0,0.0,0.67,0.0,0.0,0.0,0.67,0.5,0.4,0.0,0.75,0.17,0.5,0.0,0.0,0.4,0.0,0.5,1.0,0.5,0.43,0.83,0.5,0.8,0.75
30193,3.87,11.51,Bamum,1.0,0.12,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.43,1.0,0.5,0.86,0.67,0.75,0.33,1.0,0.67,0.25,1.0,1.0,1.0,0.67,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.86,1.0,1.0,0.8,1.0
50244,56.8,-3.46,Perthshire,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.43,0.0,0.0,0.0,1.0,0.42,0.67,0.0,0.0,0.5,0.6,0.0,1.0,0.83,0.5,0.4,1.0,1.0,1.0,0.5,1.0,0.75,0.71,0.5,0.5,0.2,0.25
