,song_id,Preferred_name,society_id,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,lat,lng
55,2209,Abelam,10033,0.92,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.77,1.0,1.0,0.08,0.08,0.69,0.08,0.08,0.08,0.08,0.77,1.0,1.0,1.0,0.23,0.77,0.08,1.0,0.08,0.54,0.77,1.0,0.77,0.46,0.77,0.31,0.77,1.0,-5.55,150.14
56,2304,Aberdeen,25071,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.08,0.77,0.77,0.08,0.77,0.69,0.54,0.69,1.0,1.0,1.0,0.08,0.54,0.77,0.77,0.54,0.54,0.31,0.31,57.14,-2.09
57,9332,Aberdeen,25071,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.46,0.08,0.08,0.08,0.69,0.92,0.54,1.0,0.31,0.54,1.0,0.08,1.0,0.69,0.54,0.69,0.08,0.69,0.54,0.08,1.0,0.54,0.46,0.54,0.31,0.77,0.31,57.14,-2.09
58,9410,Aberdeen,25071,0.15,0.15,0.15,0.08,0.08,0.08,0.31,0.08,0.08,0.08,0.85,0.08,0.85,0.54,0.69,0.38,0.54,0.46,0.69,0.77,0.54,0.08,1.0,0.38,0.54,1.0,1.0,1.0,1.0,0.08,1.0,0.54,0.46,0.54,0.54,0.54,0.31,57.14,-2.09
59,9474,Aberdeen,25071,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.62,0.69,0.54,0.54,0.08,1.0,0.69,0.31,0.69,0.08,1.0,1.0,0.08,1.0,0.54,0.46,0.77,0.31,0.77,0.08,57.14,-2.09
60,4154,Abkhazia,10055,0.69,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,0.54,0.46,0.23,0.23,0.23,0.69,0.92,1.0,0.85,0.31,0.77,0.54,0.77,1.0,0.69,1.0,1.0,1.0,1.0,1.0,0.54,1.0,0.77,0.77,1.0,0.77,0.31,0.31,43.0,41.02
61,4155,Abkhazia,10055,0.92,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,1.0,0.46,0.54,0.23,0.23,0.69,0.77,1.0,1.0,0.31,0.77,0.54,0.77,0.77,0.85,0.77,1.0,1.0,0.69,0.54,1.0,1.0,0.77,0.77,1.0,0.54,0.77,0.77,43.0,41.02
62,2664,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.85,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.31,0.77,1.0,0.08,0.77,0.23,0.54,0.69,1.0,0.38,0.54,0.08,1.0,0.77,0.46,0.31,1.0,0.54,0.31,44.68,-63.74
63,2665,Acadien,22826,0.15,0.15,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.08,0.85,0.08,0.85,0.08,0.69,0.46,0.77,0.46,0.08,0.54,0.77,0.08,1.0,0.38,0.54,1.0,1.0,1.0,1.0,0.08,1.0,0.54,0.46,0.54,0.31,0.54,0.31,44.68,-63.74
64,2666,Acadien,22826,0.15,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.08,0.46,0.08,0.85,0.08,0.69,0.46,0.54,0.46,0.31,0.77,1.0,0.08,0.54,0.38,0.77,0.38,0.38,0.38,0.54,0.08,0.54,0.77,0.46,0.31,0.31,0.31,0.54,44.68,-63.74
65,2667,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.08,0.54,1.0,0.08,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.31,1.0,0.54,0.62,0.54,0.54,0.54,0.31,44.68,-63.74
66,2668,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.23,0.31,0.77,0.54,0.08,0.77,0.69,0.54,1.0,1.0,0.69,1.0,0.31,1.0,0.77,0.46,0.31,0.54,0.54,0.54,44.68,-63.74
67,9336,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.31,0.77,0.77,0.0,1.0,0.85,0.54,0.69,0.08,1.0,1.0,0.54,1.0,0.54,0.46,0.77,0.54,0.54,0.31,44.68,-63.74
