,index,canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
43,0,249,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,1.0,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,1.0,0.46,1.0,0.08,0.08,0.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.77,1.0,1.0,0.38,0.08,1.0,1.0,0.77,1.0,0.54,0.54,0.54,1.0
44,0,250,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,1.0,0.08,0.08,1.0,1.0,1.0,0.08,0.08,0.08,0.54,0.46,1.0,0.08,0.08,0.85,1.0,1.0,1.0,0.69,0.77,1.0,1.0,1.0,0.69,0.77,1.0,1.0,0.08,0.08,0.54,1.0,1.0,1.0,0.77,0.54,0.31,0.77
45,0,251,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,1.0,0.92,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.85,0.85,0.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.77,1.0,1.0,0.08,0.08,1.0,1.0,0.77,0.88,0.77,0.77,0.77,1.0
46,0,252,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,1.0,0.92,0.85,1.0,1.0,1.0,1.0,0.77,1.0,1.0,0.46,1.0,0.46,0.69,0.69,1.0,1.0,1.0,1.0,0.77,1.0,1.0,1.0,0.69,0.77,1.0,1.0,0.38,0.08,1.0,1.0,1.0,1.0,0.77,0.77,0.77,0.77
47,0,253,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,-0.65,29.5,1.0,0.08,0.08,1.0,1.0,1.0,0.08,0.08,0.08,1.0,0.46,1.0,0.08,0.08,0.69,1.0,1.0,1.0,0.08,0.77,0.77,1.0,1.0,0.38,0.31,1.0,1.0,0.08,1.0,1.0,1.0,0.77,1.0,0.54,0.42,0.77,0.77
48,0,254,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,-0.65,29.5,1.0,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.54,0.46,1.0,0.08,0.08,0.69,1.0,1.0,1.0,0.08,0.54,1.0,1.0,1.0,0.38,0.31,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.62,0.54,0.31,0.77,0.77
49,0,255,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,-0.65,29.5,0.46,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.31,0.46,0.23,0.08,0.08,1.0,0.85,0.77,1.0,0.08,0.31,0.54,0.46,1.0,0.38,0.31,1.0,1.0,0.69,0.54,0.31,1.0,0.77,0.62,0.54,0.31,0.77,0.77
50,0,256,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,0.88,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,1.0,0.46,0.85,0.85,1.0,1.0,1.0,1.0,0.77,1.0,1.0,1.0,0.38,0.77,1.0,1.0,0.38,0.08,1.0,1.0,0.77,0.81,0.54,0.77,0.77,0.77
51,0,257,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,1.0,0.08,0.08,1.0,1.0,1.0,0.08,0.08,0.08,1.0,1.0,1.0,0.08,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.77,0.08,1.0,0.08,0.08,1.0,0.08,1.0,1.0,1.0,0.77,1.0,1.0
52,0,258,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,0.85,0.23,0.85,1.0,0.77,1.0,1.0,1.0,1.0,0.77,0.46,0.23,0.85,0.85,0.69,0.85,1.0,0.85,1.0,0.54,0.77,0.23,1.0,0.69,0.77,1.0,1.0,0.69,1.0,0.77,1.0,0.42,0.77,0.54,0.77,0.31,0.77
53,0,9111,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,1.0,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.88,0.46,0.85,0.08,0.08,0.85,1.0,1.0,1.0,0.85,0.54,0.54,1.0,1.0,0.85,0.77,1.0,1.0,0.69,0.08,0.88,0.08,0.42,1.0,0.54,0.77,1.0,1.0
54,0,9227,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,0.92,0.92,0.85,1.0,1.0,1.0,1.0,0.77,1.0,1.0,0.46,0.85,0.23,0.69,0.69,1.0,1.0,1.0,0.69,0.77,1.0,1.0,1.0,0.69,0.77,1.0,1.0,0.69,0.08,1.0,0.08,1.0,0.81,0.31,0.54,1.0,1.0
55,0,9260,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,2.72,30.64,1.0,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.77,0.46,0.69,0.08,0.08,0.85,1.0,0.77,1.0,0.08,0.77,0.54,1.0,1.0,0.69,0.77,1.0,1.0,1.0,0.08,0.77,0.08,0.54,1.0,0.77,0.77,0.54,1.0
56,0,309,Africa,Central Africa,Equatorial Central Africa,"Kasaï-Central Prov, S DR Congo",Luba-Lulua,-5.04,20.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.46,1.0,0.46,0.08,0.69,1.0,1.0,1.0,0.31,0.31,0.77,1.0,1.0,0.69,0.77,1.0,1.0,1.0,1.0,0.08,1.0,0.54,0.62,0.54,0.31,0.31,0.54
57,0,319,Africa,Central Africa,Equatorial Central Africa,"Kwilu Prov, S W DR Congo",Pende,-5.11,18.42,0.62,0.08,0.46,0.54,0.77,1.0,0.54,1.0,0.77,0.08,0.69,0.23,0.69,0.23,0.69,0.92,1.0,0.85,0.31,0.31,0.77,0.08,1.0,1.0,0.77,1.0,1.0,1.0,1.0,0.08,1.0,0.54,0.62,0.54,0.31,0.31,0.54
58,0,320,Africa,Central Africa,Equatorial Central Africa,"Kwilu Prov, S W DR Congo",Pende,-5.11,18.42,0.85,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.31,0.69,0.23,0.08,0.08,1.0,0.85,1.0,1.0,0.31,0.31,0.54,0.62,1.0,0.85,0.77,1.0,1.0,1.0,1.0,0.31,1.0,0.77,0.62,0.31,0.31,0.54,0.54
59,0,237,Africa,Central Africa,Equatorial Central Africa,N E DR Congo/ N W Uganda,Alur,3.03,29.54,0.15,0.62,0.92,0.31,0.08,0.08,1.0,1.0,1.0,0.08,0.85,0.08,0.46,0.85,1.0,0.77,1.0,1.0,0.08,0.31,0.54,0.08,1.0,0.38,0.31,0.69,1.0,0.38,1.0,0.08,1.0,0.31,0.62,0.54,0.54,0.77,0.54
60,0,9160,Africa,Central Africa,Equatorial Central Africa,"Plateaux Dept, C Congo",Kukuya Teke,-2.3,14.37,0.85,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.46,0.85,0.46,0.85,0.69,0.77,0.88,0.85,0.08,0.54,0.31,0.23,0.54,1.0,0.54,1.0,1.0,1.0,0.54,0.77,0.08,1.0,0.62,0.77,0.77,0.77,1.0
