"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col"
"440",NA,NA,20142,NA,"hemb1242",NA,8192,8192,256,-7.77,27.59,"#C52B2F",NA,"#C52B2F","#F6C3C3"
"441",NA,NA,20153,NA,"sout3126",NA,128,2,2,40.64,15.96,"#88C1CA",NA,"#F1635B","#88C1CA"
"442","Ae16","xd134",20219,"Lulua","luba1249",NA,8192,8192,8192,-4.31,27.34,"#C52B2F",NA,"#C52B2F",NA
"443","Ac6","xd72",20230,"Ndembu","lund1266",NA,8192,8192,256,-11.18,23.97,"#C52B2F",NA,"#C52B2F","#F6C3C3"
"444","Aj6","xd411",20241,"Luo","luok1236","2",8192,16,2,-0.93,34.49,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA"
"445","Ac11","xd35",20252,"Luvale","luva1239","2",8192,8192,1024,-13.55,23.11,"#C52B2F","#88C1CA","#C52B2F","#5E9AC4"
"446",NA,NA,20318,NA,"mace1250",NA,128,16,2,41.61,21.79,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"447",NA,NA,20362,NA,"mada1298",NA,128,128,2,-5.23,145.81,"#88C1CA",NA,"#88C1CA","#88C1CA"
"448",NA,NA,20417,NA,"magu1243",NA,2,16,2,7.13,124.31,"#F1635B",NA,"#F6C3C3","#88C1CA"
"449",NA,NA,20439,NA,"maha1309",NA,8192,8192,2,-24.14,44.86,"#C52B2F",NA,"#C52B2F","#88C1CA"
"450",NA,NA,20477,NA,"dizi1235",NA,8192,8192,8192,6.14,35.58,"#C52B2F",NA,"#C52B2F",NA
"451",NA,NA,20516,NA,"mako1250",NA,8192,8192,8192,-5.73,150.73,"#C52B2F",NA,"#C52B2F",NA
"452",NA,NA,20571,NA,"stan1306",NA,2,16,2,-2.75,103.83,"#F1635B",NA,"#F6C3C3","#88C1CA"
"453",NA,NA,20604,NA,"mala1539",NA,8192,128,2,-15.99,167.29,"#C52B2F",NA,"#88C1CA","#88C1CA"
"454",NA,NA,20615,NA,"mand1436",NA,8192,16,2,12.82,-15.65,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"455",NA,NA,20626,NA,"stan1289",NA,128,2,2,39.62,2.98,"#88C1CA",NA,"#F1635B","#88C1CA"
"456","Ai5","xd379",20681,"Mamvu","mamv1243","2",8192,16,2,2.68,28.99,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA"
"457","Ed3","xd646",20714,"Manchu","manc1252","3",128,16,2,47.31,126.56,"#88C1CA","#F6C3C3","#F6C3C3","#88C1CA"
"458","Ij7","xd896",20758,"Mangarevans","mang1401","3",8192,128,2,-23.11,-134.97,"#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"459",NA,NA,20791,NA,"mano1276",NA,1024,16,2,8.63,125.74,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"460",NA,NA,20802,NA,"loup1244",NA,1024,8192,1024,-2.56,147.28,"#5E9AC4",NA,"#C52B2F","#5E9AC4"
"461",NA,NA,20813,NA,"manu1262",NA,8192,128,2,-3.11,129.43,"#C52B2F",NA,"#88C1CA","#88C1CA"
"462",NA,NA,20818,NA,"kema1243",NA,128,2,2,-2.09,146.88,"#88C1CA",NA,"#F1635B","#88C1CA"
"463",NA,NA,20829,NA,"maon1241",NA,8192,8192,1024,25.02,108.02,"#C52B2F",NA,"#C52B2F","#5E9AC4"
"464",NA,NA,20832,NA,"maop1237",NA,16,8192,8,-10.13,148.02,"#F6C3C3",NA,"#C52B2F","#C52B2F"
"465","Ij2","xd891",20835,"Māori","maor1246","4",8192,128,2,-38.29,176.54,"#C52B2F","#F1635B","#88C1CA","#88C1CA"
"466",NA,NA,20879,NA,"mari1435",NA,1024,128,2,-5.44,144.64,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"467",NA,NA,20890,NA,"mark1257",NA,8192,128,2,-6.47,146.48,"#C52B2F",NA,"#88C1CA","#88C1CA"
"468",NA,NA,20901,NA,"marq1246",NA,8192,128,2,-9.45,-139.39,"#C52B2F",NA,"#88C1CA","#88C1CA"
"469",NA,NA,20923,NA,"mars1254",NA,8192,16,2,6.06,171.98,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"470",NA,NA,20934,NA,"less1242",NA,8192,16,2,14.65,-60.97,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"471","Ai9","xd383",20945,"Masa","masa1322",NA,8192,128,2,7.65,16.73,"#C52B2F",NA,"#88C1CA","#88C1CA"
"472","Aj2","xd395",20956,"Maasi","masa1300","2",8192,8192,8,-3.14,36.46,"#C52B2F","#88C1CA","#C52B2F","#C52B2F"
"473","Aj2","xd395",20967,"Maasi","masa1300","2",1024,8192,256,-3.14,36.46,"#5E9AC4","#88C1CA","#C52B2F","#F6C3C3"
"474","Ig2","xd852",20978,"Trobriands","kili1267","3",1024,8192,8,-9.52,150.67,"#5E9AC4","#F6C3C3","#C52B2F","#C52B2F"
"475",NA,NA,20989,NA,"wich1261",NA,8192,16,2,-23.16,-62.18,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"476","Sa6","xd1322",21033,"Yucatec Maya","yuca1254","4",8192,16,2,16.35,-89.07,"#C52B2F","#F1635B","#F6C3C3","#88C1CA"
"477",NA,NA,21044,NA,"mayo1261",NA,8192,8192,8192,2.81,27.83,"#C52B2F",NA,"#C52B2F",NA
"478",NA,NA,21055,NA,"maza1295",NA,8192,16,2,18.15,-96.57,"#C52B2F",NA,"#F6C3C3","#88C1CA"
