"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"662",NA,NA,25543,NA,"west2346",NA,128,16,2,38.08,13.51,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"663","Ca16","xd422",25554,"Sidama","sida1246",NA,1024,8192,8,6.74,38.37,"Afro-Asiatic","#C52B2F",NA,"#C52B2F","#C52B2F"
"664","Nb20","xd1080",25576,"Tillamook","till1254","4",1024,16,2,44.91,-124.01,"Salishan","#C52B2F","#F1635B","#F6C3C3","#88C1CA"
"665","Ie32","xd810",25653,"Sio","sioo1240","2",128,128,2,-5.96,147.35,"Austronesian","#F1635B","#88C1CA","#88C1CA","#88C1CA"
"666","Se1","xd1362",25675,"Sirionó","siri1273","1",8192,16,2,-15.53,-63.97,"Tupian","#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA"
"667",NA,NA,25730,NA,"slav1253",NA,8192,16,2,63.27,-123.64,"Athapaskan-Eyak-Tlingit","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"668",NA,NA,25741,NA,"rusy1239",NA,8192,8192,1024,49.02,18.21,"Indo-European","#5E9AC4",NA,"#C52B2F","#5E9AC4"
"669",NA,NA,25752,NA,"slov1269",NA,8192,16,2,48.66,19.69,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"670",NA,NA,25757,NA,"croa1245",NA,8192,8192,8,45.34,17.81,"Indo-European","#5E9AC4",NA,"#C52B2F","#C52B2F"
"671",NA,NA,25818,NA,"soma1255",NA,128,16,2,4.78,45.15,"Afro-Asiatic","#F1635B",NA,"#F6C3C3","#88C1CA"
"672",NA,NA,25917,NA,"soth1252",NA,8192,8192,64,-30.44,27.91,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#F1635B"
"673",NA,NA,25994,NA,"cant1245",NA,1024,128,2,43.09,-4.41,"Indo-European","#C52B2F",NA,"#88C1CA","#88C1CA"
"674",NA,NA,26005,NA,"leon1250",NA,1024,128,2,42.66,-6.01,"Indo-European","#C52B2F",NA,"#88C1CA","#88C1CA"
"675",NA,NA,26027,NA,"arag1245",NA,128,16,2,41.59,-0.91,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"676","Ce6","xd533",26038,"Spaniards","stan1288",NA,1024,16,2,40.95,-4.17,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"677","Ce6","xd533",26049,"Spaniards","stan1288",NA,1024,16,2,38.98,-3.92,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"678",NA,NA,26060,NA,"murc1238",NA,8192,16,2,37.99,-1.13,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"679",NA,NA,26071,NA,"cast1244",NA,128,16,2,39.92,-5.17,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"680",NA,NA,26075,NA,"extr1243",NA,1024,128,2,39.48,-6.37,"Indo-European","#C52B2F",NA,"#88C1CA","#88C1CA"
"681",NA,NA,26093,NA,NA,NA,2,16,2,39.47,-0.38,"Indo-European","#88C1CA",NA,"#F6C3C3","#88C1CA"
"682",NA,NA,26137,NA,"sain1246",NA,8192,128,2,13.89,-60.97,"Indo-European","#5E9AC4",NA,"#88C1CA","#88C1CA"
"683",NA,NA,26159,NA,"alba1267",NA,128,128,2,43.63,19.48,"Indo-European","#F1635B",NA,"#88C1CA","#88C1CA"
"684",NA,NA,26181,NA,"suda1236",NA,1024,128,2,17.81,33.32,"Afro-Asiatic","#C52B2F",NA,"#88C1CA","#88C1CA"
"685",NA,NA,26195,NA,"gour1247",NA,8192,8192,8192,29.26,0.23,"Afro-Asiatic","#5E9AC4",NA,"#C52B2F",NA
"686",NA,NA,26198,NA,"sulk1246",NA,8192,8192,8,-5.03,151.89,"Sulka (language isolate)","#5E9AC4",NA,"#C52B2F","#C52B2F"
"687",NA,NA,26269,NA,"suri1275",NA,8192,8192,256,3.92,-56.03,"Indo-European","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"688",NA,NA,26302,NA,"suya1243",NA,8192,16,2,-11.52,-53.07,"Nuclear-Macro-Je","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"689",NA,NA,26340,NA,"swed1254",NA,8192,128,2,60.29,14.97,"Indo-European","#5E9AC4",NA,"#88C1CA","#88C1CA"
"690","Cj7","xd593",26346,"Lebanese","nort3139","4",2,2,2,34.81,38.99,"Afro-Asiatic","#88C1CA","#F1635B","#F1635B","#88C1CA"
"691",NA,NA,26357,NA,"taji1245",NA,16,16,2,31.04,50.38,"Indo-European","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"692","Ia7","xd747",26379,"Tagbanua","tagb1258","4",1024,1024,2,9.54,118.51,"Austronesian","#C52B2F","#F1635B","#5E9AC4","#88C1CA"
"693","Ij8","xd897",26401,"Tahitians","tahi1242","3",8192,8192,2,-17.61,-149.31,"Austronesian","#5E9AC4","#F6C3C3","#C52B2F","#88C1CA"
"694",NA,NA,26461,NA,"taku1257",NA,8192,128,2,-6.75,155.69,"Austronesian","#5E9AC4",NA,"#88C1CA","#88C1CA"
