"","soc_id.ea","xd_id","soc_id.canto","pref_name_for_society","Glottocode","stratification","gender_complementarity","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col","gender_col"
"773","Nd65","xd1202",28414,"Hualapai","wala1270",1,6,1024,128,2,35.63,-113.39,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA",NA
"776","Nh17","xd1267",28469,"Western Apache","west2615",1,1,8192,128,2,33.86,-110.12,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"777","Sc1","xd1335",28502,"Warao","wara1303",1,4,8192,16,2,7.51,-59.35,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#F1635B"
"779","Nd6","xd1196",28524,"Washo","wash1253",1,5,8192,128,2,38.32,-119.64,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"788","Se4","xd1368",28843,"Yagua","yagu1244",1,1,8192,16,2,-2.83,-77.26,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"789","Sg1","xd1383",28865,"Yahgan","yama1264",1,3,1024,16,2,-54.01,-68.51,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA","#F6C3C3"
"790","Ec2","xd628",28898,"Yakut","yaku1245",2,2,128,16,2,61.71,133.98,"#88C1CA","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"793","If6","xd837",28975,"Yapese","yape1248",4,5,1024,128,2,9.56,138.12,"#5E9AC4","#F1635B","#88C1CA","#88C1CA","#C52B2F"
"794","Ni7","xd1292",28986,"Yaqui","yaqu1251",1,1,8192,16,2,29.94,-110.68,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"795","Sc2","xd1345",28997,"Pumé","pume1238",1,2,1024,128,2,7.11,-68.61,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"796","Sc16","xd1342",29030,"Ye'kuana","maqu1238",1,NA,1024,16,2,4.71,-64.39,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA",NA
"799","Ng11","xd1246",29129,"Yuchi","yuch1247",1,4,1024,128,2,35.96,-95.04,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"802","Nb4","xd1101",29217,"Yurok","yuro1248",2,2,8192,16,2,41.33,-123.82,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"809","Nh4","xd1280",29371,"Zuni","zuni1245",1,2,1024,128,2,35.08,-108.76,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"811","Ai22","xd351",30002,"Sara","sarr1246",1,4,8192,128,2,9.15,16.65,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"819","Ca23","xd430",30016,"Bako","aari1239",NA,4,8192,8192,8192,5.95,36.57,"#C52B2F",NA,"#C52B2F",NA,"#F1635B"
"820","Ca25","xd432",30016,"Shangama","aari1239",NA,4,8192,8192,8192,5.95,36.57,"#C52B2F",NA,"#C52B2F",NA,"#F1635B"
"821","Ca26","xd433",30016,"Ubamer","aari1239",NA,NA,8192,8192,8192,5.95,36.57,"#C52B2F",NA,"#C52B2F",NA,NA
"825","Ai20","xd349",30024,"Tupuri","tupu1244",1,NA,8192,128,2,10.01,14.87,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"826","Ai15","xd343",30025,"Mundang","mund1325",NA,5,8192,128,2,9.83,14.48,"#C52B2F",NA,"#88C1CA","#88C1CA","#C52B2F"
"833","Ia11","xd734",30034,"Puyuma","puyu1239",4,5,8192,128,2,22.64,121.01,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#C52B2F"
"836","Ig4","xd856",30038,"Lesu","nots1237",1,NA,8192,128,2,-3.06,151.4,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"838","Ie7","xd821",30040,"Enga","enga1252",1,3,8192,128,2,-5.46,143.69,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F6C3C3"
"840","Aj29","xd405",30042,"Samburu","samb1315",1,NA,8192,128,8,1.61,37.05,"#C52B2F","#5E9AC4","#88C1CA","#C52B2F",NA
"841","Aj5","xd410",30043,"Turkana","turk1308",1,6,8192,128,2,4.31,35.71,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"854","Ch9","xd573",30058,"Lithuanians","lith1251",5,2,8192,16,2,55.16,23.88,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"868","Id3","xd778",30077,"Tiwi","tiwi1244",1,6,128,16,2,-11.63,130.96,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA",NA
"892","Ad4","xd109",30174,"Kikuyu","kiku1240",2,5,8192,128,2,-0.29,36.72,"#C52B2F","#88C1CA","#88C1CA","#88C1CA","#C52B2F"
"893","Ad22","xd90",30175,"Sukuma","suku1261",4,5,8192,128,2,-3.16,32.88,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#C52B2F"
"903","Ia14","xd737",30186,"Tao","yami1254",1,3,8192,1024,2,22.05,121.54,"#C52B2F","#5E9AC4","#5E9AC4","#88C1CA","#F6C3C3"
"906","Ic1","xd759",30192,"Macassarese","maka1311",4,2,1024,1024,2,-4.33,120.25,"#5E9AC4","#F1635B","#5E9AC4","#88C1CA","#88C1CA"
"907","Ae50","xd172",30193,"Bamum","bamu1253",4,5,8192,8192,8192,5.49,10.85,"#C52B2F","#F1635B","#C52B2F",NA,"#C52B2F"
"910","Cg3","xd543",50245,"Irish","iris1253",5,2,1024,2,2,53.09,-9.65,"#5E9AC4","#C52B2F","#F1635B","#88C1CA","#88C1CA"
"941","Na25","xd1041",62300,"Kalaallit (West Greenland)","kala1399",1,1,1024,16,2,69.38,-52.86,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
