canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
3828,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.46,0.54,0.62,0.31,0.77,0.54,0.08,0.54,0.69,0.42,0.69,1.0,0.38,0.54,0.31,0.54,0.77,0.62,0.54,0.54,0.54,0.54
3829,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.15,0.77,0.08,0.31,0.77,0.54,0.08,0.31,0.85,0.42,0.38,1.0,0.38,0.08,0.31,0.54,0.77,0.46,0.31,0.54,0.77,0.31
3836,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",22.36,85.43,0.15,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.31,0.46,0.08,0.46,0.08,0.69,0.15,0.54,0.08,0.31,0.54,0.31,0.08,0.54,0.38,0.42,0.69,0.69,0.69,0.54,0.31,1.0,0.54,0.35,0.31,0.31,0.77,0.31
3837,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",22.36,85.43,0.15,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.31,0.46,0.08,0.85,0.08,0.69,0.46,0.77,0.38,0.08,0.54,0.31,0.08,0.54,0.69,0.31,0.69,0.38,1.0,0.08,0.31,1.0,0.54,0.46,0.54,0.54,0.77,0.54
3838,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",22.36,85.43,0.46,0.08,0.08,1.0,0.54,0.54,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.92,0.54,0.85,0.31,0.54,0.54,0.46,0.77,0.69,0.54,0.69,1.0,0.69,1.0,0.31,1.0,0.54,0.35,0.31,0.54,0.77,0.54
3839,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",22.36,85.43,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.46,0.08,0.08,0.08,0.69,0.38,0.77,0.23,0.08,0.54,0.54,0.08,0.54,0.69,0.31,0.38,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.54,0.54,0.77,0.77
3840,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",22.36,85.43,0.69,0.62,0.54,0.77,0.31,0.31,0.77,0.54,0.08,0.54,0.85,0.38,0.85,0.38,0.69,0.77,0.42,0.23,0.08,0.54,0.31,0.08,0.0,0.69,0.77,0.69,0.69,0.0,0.0,0.54,1.0,0.42,0.23,0.31,0.31,0.42,0.42
3841,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.38,0.92,0.85,0.77,0.31,0.54,0.54,0.77,0.77,0.31,0.46,0.38,0.46,0.54,0.69,0.62,0.54,0.85,0.31,0.77,0.31,0.08,0.31,0.38,0.77,0.69,1.0,0.69,0.08,0.31,1.0,0.42,0.62,0.31,0.54,0.54,0.77
3842,South Asia,India,E C India/ E Central Tribal Area,Andhra Pradesh/ Odisha,"Gadaba, Bhumij",21.77,84.36,0.5,0.08,0.08,1.0,0.77,0.31,0.08,0.08,0.08,0.77,0.92,0.23,0.08,0.08,0.69,0.77,0.54,1.0,0.31,0.54,0.77,0.46,0.54,0.69,0.77,0.69,1.0,0.38,1.0,0.77,1.0,1.0,0.62,0.42,0.54,0.77,0.31
3843,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.46,0.08,0.08,0.54,0.31,0.31,0.08,0.08,0.08,0.31,0.46,0.38,0.08,0.08,0.69,0.46,0.77,0.38,0.69,0.54,0.54,0.08,0.77,0.69,0.54,0.69,1.0,0.38,1.0,0.31,1.0,0.77,0.62,0.42,0.54,0.77,0.54
9872,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.15,0.23,0.38,0.31,0.08,0.08,1.0,0.54,0.54,0.08,0.69,0.08,0.69,1.0,0.69,0.46,0.77,0.62,0.08,0.54,0.31,0.08,0.31,0.69,0.54,0.69,0.85,0.69,0.08,0.08,0.54,0.54,0.46,0.31,0.77,0.77,0.54
9873,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.92,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.08,0.85,0.23,0.08,0.08,0.69,0.69,0.31,0.85,0.08,0.54,0.31,0.08,0.31,0.69,0.54,1.0,0.08,0.38,0.08,0.08,0.54,0.54,0.46,0.54,0.54,0.77,0.31
9874,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.92,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.31,0.85,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.69,0.08,0.69,0.54,0.54,1.0,0.54,0.46,0.54,0.54,0.54,0.31
9875,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.77,0.77,0.85,0.31,0.08,0.08,1.0,0.31,0.54,0.31,0.46,0.08,0.46,0.69,0.85,0.85,0.54,0.85,0.08,0.31,0.42,0.08,0.54,0.77,0.54,0.69,0.69,1.0,0.54,0.31,0.54,0.54,0.23,0.31,0.54,0.77,0.31
9876,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.85,1.0,0.85,0.77,0.77,0.77,1.0,0.54,1.0,0.77,0.46,0.23,0.46,0.85,0.69,0.69,0.77,0.85,0.08,0.54,0.54,0.08,1.0,0.77,0.77,0.69,0.69,1.0,1.0,0.77,1.0,0.42,0.46,0.31,0.54,0.31,0.54
9877,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.92,0.08,0.08,0.31,0.77,0.77,0.08,0.08,0.08,0.54,0.46,0.23,0.08,0.08,0.69,0.62,0.77,0.85,0.31,0.54,0.42,0.08,0.54,0.69,0.54,0.69,0.08,0.69,0.54,0.54,1.0,0.54,0.23,0.31,0.31,0.54,0.54
9878,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,0.85,0.08,0.42,0.0,0.69,0.31,0.31,0.08,0.31,0.38,0.77,0.08,0.08,0.38,0.54,0.08,0.54,0.42,0.35,0.54,0.54,0.77,0.31
9879,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.85,0.08,0.46,0.08,0.0,0.15,0.77,0.08,0.31,0.54,0.42,0.08,0.54,0.38,0.54,0.69,0.69,0.69,0.54,0.31,1.0,0.54,0.23,0.31,0.54,0.77,0.54
9880,South Asia,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.54,1.0,0.08,0.46,0.08,0.85,0.77,0.77,0.85,0.31,0.77,0.77,0.08,0.54,0.38,0.31,0.69,1.0,0.0,0.08,0.54,1.0,0.54,0.23,0.31,0.31,0.77,0.77
