soc_id,Code_1,Code_2,Code_3,Code_4,Code_5,Code_6,Code_7,Code_8,Code_9,categories
Af1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af12,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af16,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1
Af23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af24,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af26,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af27,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af29,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af31,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA
Af32,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af33,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af34,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af35,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af36,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af37,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af38,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af39,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af40,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af42,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0
Af44,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1
Af45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0
Af46,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af47,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af48,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af49,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af50,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af51,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af52,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af53,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af54,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af55,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af56,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
